                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x78c069ef7010, 2000000 allocated for zone
Using /home/estudiante/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/estudiante/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM2.WAD
===========================================================================
                         DOOM 2: Hell on Earth
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Doom 1.9' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-06 18:39:14 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 18:39:15	 395	 448	752	128	 91.41	 0	-1 	0
2025-11-06 18:39:16	 430	 495	747	128	 14.06	 0	-1 	0
2025-11-06 18:39:17	 465	 522	747	128	 4.22	 4	0 	0
2025-11-06 18:39:18	 500	 697	720	128	 202.50	 0	-1 	0
2025-11-06 18:39:19	 535	 637	669	128	 180.00	 -4	-2 	0
2025-11-06 18:39:20	 570	 391	662	23	 174.38	 -11	1 	0
2025-11-06 18:39:21	 605	 410	678	16	 357.19	 13	0 	0
2025-11-06 18:39:22	 640	 604	662	112	 28.12	 1	0 	0
2025-11-06 18:39:23	 675	 768	828	128	 92.81	 2	0 	0
2025-11-06 18:39:24	 710	 597	790	128	 92.81	 -12	1 	0
2025-11-06 18:39:25	 745	 483	774	128	 91.41	 -1	0 	0
2025-11-06 18:39:27	 798	 479	782	128	 87.19	 -1	-1 	0
2025-11-06 18:39:28	 834	 467	786	128	 91.41	 -2	0 	0
2025-11-06 18:39:29	 869	 461	785	128	 354.38	 5	-1 	0
2025-11-06 18:39:30	 904	 813	783	128	 291.09	 4	0 	0
2025-11-06 18:39:31	 939	 857	789	128	 303.75	 0	-1 	0
2025-11-06 18:39:32	 974	 892	801	128	 298.12	 5	-1 	0
2025-11-06 18:39:33	 1009	 902	839	128	 137.81	 -12	1 	0
2025-11-06 18:39:34	 1044	 793	802	128	 120.94	 -1	-1 	0
2025-11-06 18:39:35	 1079	 739	783	128	 120.94	 -8	-4 	0
2025-11-06 18:39:36	 1114	 762	784	128	 109.69	 0	-2 	0
2025-11-06 18:39:37	 1149	 754	818	128	 91.41	 -1	0 	0
2025-11-06 18:39:38	 1184	 691	781	128	 80.16	 -9	-3 	0
2025-11-06 18:39:39	 1219	 523	738	128	 18.28	 3	1 	0
2025-11-06 18:39:40	 1254	 908	854	128	 108.28	 10	-2 	0
2025-11-06 18:39:41	 1289	 1067	972	128	 127.97	 -1	1 	0
2025-11-06 18:39:42	 1324	 1050	1002	128	 144.84	 -2	0 	0
2025-11-06 18:39:43	 1359	 1024	1025	128	 163.12	 1	-7 	0
2025-11-06 18:39:44	 1394	 1029	986	128	 164.53	 2	4 	0
2025-11-06 18:39:45	 1429	 983	1034	128	 181.41	 -1	0 	0
2025-11-06 18:39:46	 1468	 973	1022	128	 46.25	 -1	-1 	0
When: 2025-11-06 18:39:56 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 18:39:58	 1821	 352	349	160	 268.59	 0	-6 	0
2025-11-06 18:39:59	 1856	 352	286	160	 267.19	 -1	-3 	0
2025-11-06 18:40:00	 1891	 278	179	160	 180.00	 -11	-3 	0
2025-11-06 18:40:01	 1926	 56	124	160	 212.34	 6	-4 	0
2025-11-06 18:40:02	 1961	 227	81	160	 168.75	 1	-1 	0
