                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7e0a7bfa3010, 2000000 allocated for zone
Using /home/estudiante/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/estudiante/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM2.WAD
===========================================================================
                         DOOM 2: Hell on Earth
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Doom 1.9' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-07 10:35:27 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-07 10:35:28	 395	 448	752	128	 91.41	 0	-1 	0
When: 2025-11-07 10:35:29 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-07 10:35:42	 853	 -104	777	56	 220.08	 -3	-3 	0
2025-11-07 10:35:43	 888	 -244	685	56	 183.16	 -7	-1 	0
2025-11-07 10:35:44	 923	 -436	674	56	 107.58	 -2	-1 	0
2025-11-07 10:35:45	 958	 -484	820	56	 100.55	 -2	6 	0
2025-11-07 10:35:46	 993	 -498	876	56	 42.54	 -1	1 	0
2025-11-07 10:35:49	 1100	 -497	869	56	 275.98	 0	-4 	0
2025-11-07 10:35:50	 1135	 -471	753	56	 341.02	 3	-2 	0
2025-11-07 10:35:51	 1170	 -277	682	56	 24.96	 2	-1 	0
2025-11-07 10:35:52	 1205	 -170	753	56	 60.12	 2	0 	0
2025-11-07 10:35:53	 1240	 -152	890	29	 93.52	 -1	7 	0
2025-11-07 10:35:54	 1275	 -126	1170	32	 72.42	 1	8 	0
2025-11-07 10:35:55	 1310	 -78	1451	56	 102.30	 -1	7 	0
2025-11-07 10:35:56	 1345	 -1	1647	56	 19.69	 2	0 	0
2025-11-07 10:35:57	 1380	 125	1647	56	 53.09	 0	0 	0
